posteam,avg_passing_yards,avg_rushing_yards,avg_first_downs,avg_giveaways,avg_takeaways,avg_passing_yards_allowed,avg_rushing_yards_allowed,avg_total_score
ARI,205.8,149.4,20.1,1.2,1.0,233.3,127.5,23.2
ATL,258.6363636363636,117.9090909090909,20.0,1.2727272727272727,0.8181818181818182,235.63636363636363,127.18181818181819,21.90909090909091
BAL,261.54545454545456,176.8181818181818,22.818181818181817,0.8181818181818182,1.0,304.6363636363636,77.45454545454545,30.09090909090909
BUF,231.63636363636363,119.18181818181819,20.636363636363637,0.7272727272727273,1.8181818181818181,226.8181818181818,119.0909090909091,28.727272727272727
CAR,180.9,110.0,15.5,1.7,1.0,233.9,160.0,16.6
CHI,201.6,115.2,18.3,0.8,1.7,213.7,130.3,19.1
CIN,275.27272727272725,91.54545454545455,20.636363636363637,0.8181818181818182,1.0909090909090908,236.0909090909091,129.8181818181818,26.636363636363637
CLE,227.7,88.5,17.2,1.2,0.7,228.3,131.7,15.5
DAL,256.9,81.7,19.1,2.0,0.9,230.5,151.0,18.3
DEN,209.8181818181818,116.0,17.545454545454547,1.2727272727272727,1.0909090909090908,211.0,98.63636363636364,21.0
DET,258.1,152.2,22.2,1.0,1.9,249.6,94.8,33.0
GB,246.1,149.9,19.9,1.4,1.9,226.1,119.6,24.4
HOU,247.27272727272728,121.36363636363636,19.363636363636363,1.0909090909090908,1.8181818181818181,210.36363636363637,107.63636363636364,22.727272727272727
IND,220.0909090909091,117.36363636363636,18.0,1.6363636363636365,1.5454545454545454,247.1818181818182,143.0909090909091,21.0
JAX,207.36363636363637,101.63636363636364,16.545454545454547,1.4545454545454546,0.7272727272727273,290.1818181818182,135.45454545454547,18.545454545454547
KC,240.4,111.4,21.6,1.4,0.9,222.0,85.3,24.0
LA,255.7,95.4,20.4,1.1,1.5,245.4,127.3,20.1
LAC,221.0,121.6,17.3,0.4,1.4,223.9,110.5,21.5
LV,231.2,75.2,17.7,2.0,0.5,219.2,124.6,18.1
MIA,216.0,122.0,19.2,1.1,0.9,210.6,109.0,17.8
MIN,243.3,116.4,20.2,1.6,2.2,258.9,74.4,24.4
NE,187.63636363636363,115.27272727272727,17.0,1.3636363636363635,0.6363636363636364,229.72727272727272,128.36363636363637,16.363636363636363
NO,228.27272727272728,130.72727272727272,18.454545454545453,1.0,1.5454545454545454,270.90909090909093,134.1818181818182,23.727272727272727
NYG,207.6,119.9,19.3,1.4,0.8,207.0,147.1,15.6
NYJ,225.27272727272728,87.18181818181819,17.363636363636363,1.0,0.7272727272727273,197.1818181818182,130.0909090909091,18.545454545454547
PHI,220.2,181.3,21.3,1.1,1.3,192.3,99.9,25.3
PIT,206.7,136.7,18.6,0.9,1.8,231.7,90.8,22.9
SEA,281.6,91.5,21.0,1.4,1.2,227.0,138.6,22.6
SF,261.3,147.8,21.5,1.2,1.7,210.1,105.0,24.4
TB,250.5,125.3,21.4,1.4,1.0,283.5,125.2,27.7
TEN,197.5,117.0,17.8,1.8,0.7,178.9,113.4,16.8
WAS,231.0,147.9090909090909,21.363636363636363,0.36363636363636365,1.0,200.63636363636363,150.45454545454547,27.454545454545453
